area,quartos,suite,banheiros,vagas,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total,neighborhood,score,price_per_sqm,rent_level,price_per_room,price_per_bathroom,rent_to_condo_ratio,rooms_per_area,bathrooms_per_area,luxury_score,cluster
44.0,2.0,0,1.0,1.0,1,0,1,5000,600.0,0,64.0,129.0,5793,butanta,131.6590909090909,131.6590909090909,Low,2896.5,5793.0,8.333333333333334,0.045454545454545456,0.022727272727272728,1,2
32.0,1.0,0,1.0,0.0,0,1,1,3200,450.0,137,41.0,82.0,3910,butanta,122.1875,122.1875,Low,3910.0,3910.0,7.111111111111111,0.03125,0.03125,2,0
45.0,2.0,0,1.0,1.0,1,0,1,3800,542.0,100,49.0,98.0,4589,butanta,101.97777777777776,101.97777777777777,Low,2294.5,4589.0,7.011070110701107,0.044444444444444446,0.022222222222222223,1,1
28.0,1.0,1,1.0,0.0,1,1,1,2800,800.0,0,36.0,72.0,3708,butanta,132.42857142857142,132.42857142857142,Low,3708.0,3708.0,3.5,0.03571428571428571,0.03571428571428571,4,0
34.0,1.0,0,1.0,0.0,0,1,1,4500,360.0,66,58.0,116.0,5100,butanta,150.0,150.0,Low,5100.0,5100.0,12.5,0.029411764705882353,0.029411764705882353,2,0
31.0,1.0,0,1.0,0.0,1,0,1,2882,474.0,0,37.0,74.0,3467,butanta,111.83870967741936,111.83870967741936,Low,3467.0,3467.0,6.080168776371308,0.03225806451612903,0.03225806451612903,1,0
25.0,1.0,1,1.0,0.0,1,1,1,3100,276.0,99,40.0,80.0,3595,butanta,143.8,143.8,Low,3595.0,3595.0,11.231884057971014,0.04,0.04,4,0
49.0,2.0,0,1.0,1.0,0,0,0,1190,400.0,0,16.0,30.0,1636,butanta,33.38775510204081,33.38775510204081,Low,818.0,1636.0,2.975,0.04081632653061224,0.02040816326530612,0,1
28.0,1.0,0,1.0,0.0,1,1,1,2600,653.0,0,33.0,67.0,3353,butanta,119.75,119.75,Low,3353.0,3353.0,3.9816232771822357,0.03571428571428571,0.03571428571428571,2,0
25.0,1.0,0,1.0,0.0,1,1,1,3100,411.0,20,40.0,80.0,3651,butanta,146.04,146.04,Low,3651.0,3651.0,7.542579075425791,0.04,0.04,2,0
29.0,1.0,1,1.0,0.0,1,1,1,3200,493.0,25,41.0,82.0,3841,butanta,132.44827586206895,132.44827586206895,Low,3841.0,3841.0,6.490872210953347,0.034482758620689655,0.034482758620689655,4,0
67.0,2.0,0,2.0,1.0,1,0,0,1470,739.0,0,19.0,38.0,2266,butanta,33.82089552238806,33.82089552238806,Low,1133.0,1133.0,1.9891745602165087,0.029850746268656716,0.029850746268656716,0,1
